district,school_county,students,teachers
63339,Beardsley Elementary - Kern,1639,90.5
65037,South Whittier Elementary - Los Angeles,4340,209.83999633789062
63917,Hanford Elementary - Kings,5079,224.5
68221,National Elementary - San Diego,6639,304.7300109863281
70904,Roseland Elementary - Sonoma,1154,62.099998474121094
63420,Di Giorgio Elementary - Kern,237,11
64642,Keppel Union Elementary - Los Angeles,2987,141.2100067138672
63966,Lakeside Union Elementary - Kings,499,30
65771,Merced City Elementary - Merced,11474,542.6500244140625
69203,Guadalupe Union Elementary - Santa Barbara,1088,55
67694,Cucamonga Elementary - San Bernardino,2660,140.1199951171875
61705,Knightsen Elementary - Contra Costa,353,19.979999542236328
63008,Rio Dell Elementary - Humboldt,329,18.530000686645508
70417,Montague Elementary - Siskiyou,252,16.5
70409,McCloud Union Elementary - Siskiyou,175,12.5
72587,Santa Paula Elementary - Ventura,3835,186.1999969482422
62539,West Park Elementary - Fresno,314,19.25
65631,Atwater Elementary - Merced,4458,211
65862,Weaver Union Elementary - Merced,1313,75.08000183105469
62356,Pacific Union Elementary - Fresno,474,26.5
75051,Lucerne Valley Unified - San Bernardino,1114,57.70000076293945
67231,Romoland Elementary - Riverside,1358,65
64501,El Monte City Elementary - Los Angeles,11629,546.29998779296875
63503,Greenfield Union Elementary - Kern,6195,306.75
72033,Palo Verde Union Elementary - Tulare,499,20
67322,Elverta Joint Elementary - Sacramento,417,23
64048,Lucerne Elementary - Lake,300,15
69542,Luther Burbank Elementary - Santa Clara,457,24.399999618530273
61382,Bangor Union Elementary - Butte,146,8
68858,Bayshore Elementary - San Mateo,460,24.219999313354492
72017,Oak Valley Union Elementary - Tulare,354,17.799999237060547
65151,Wilsona Elementary - Los Angeles,1841,95
63073,Brawley Elementary - Imperial,3760,183.75
63198,Meadows Union Elementary - Imperial,500,22.43000030517578
64717,Little Lake City Elementary - Los Angeles,5112,246.89999389648438
63719,Pond Union Elementary - Kern,146,7.659999847412109
63800,Taft City Elementary - Kern,2141,105.81999969482422
71357,Brittan Elementary - Sutter,610,30.979999542236328
65557,Arena Union Elementary - Mendocino,337,16.549999237060547
67587,Adelanto Elementary - San Bernardino,4501,227.85000610351562
67470,Hollister School District - San Benito,5718,295.04998779296875
64857,Palmdale Elementary - Los Angeles,19402,846.3800048828125
61507,Oroville City Elementary - Butte,3401,175.5500030517578
63792,Standard Elementary - Kern,2621,136.8300018310547
72447,Briggs Elementary - Ventura,426,20
62323,Monroe Elementary - Fresno,205,11.199999809265137
64667,Lancaster Elementary - Los Angeles,13668,648.40997314453125
65177,Alview-Dairyland Union Elementary - Madera,342,18.200000762939453
66589,Magnolia Elementary - Orange,6518,332.1000061035156
71985,Liberty Elementary - Tulare,239,12.199999809265137
69617,Mt. Pleasant Elementary - Santa Clara,2911,139.47000122070312
63123,El Centro Elementary - Imperial,6272,297.0400085449219
68395,South Bay Union Elementary - San Diego,10218,508.75
69914,Cascade Union Elementary - Shasta,1735,87.13999938964844
71969,Kings River Union Elementary - Tulare,474,26.610000610351562
71548,Gerber Union Elementary - Tehama,544,30
71910,Exeter Union Elementary - Tulare,1987,103.37000274658203
62000,American Union Elementary - Fresno,418,22.399999618530273
66167,San Antonio Union Elementary - Monterey,196,10
71837,Burton Elementary - Tulare,2208,114.5
67157,Nuview Union Elementary - Riverside,1255,55
70615,Bellevue Union Elementary - Sonoma,1469,78.0999984741211
64550,Garvey Elementary - Los Angeles,7114,332.8399963378906
71498,Corning Union Elementary - Tehama,1962,98
68916,Jefferson Elementary - San Mateo,7761,361
70185,Big Springs Union Elementary - Siskiyou,216,14
63487,General Shafter Elementary - Kern,224,10
71308,Turlock Joint Elementary - Stanislaus,7887,391.8599853515625
72421,Twain Harte-Long Barn Union Elementary - Tuolumne,752,39.5
69005,Redwood City Elementary - San Mateo,9328,537.8800048828125
61846,Camino Union Elementary - El Dorado,548,32.20000076293945
65813,Plainsburg Union Elementary - Merced,104,5
68486,Banta Elementary - San Joaquin,275,13
62513,Washington Colony Elementary - Fresno,443,24
67405,Rio Linda Union Elementary - Sacramento,10337,540.04998779296875
71050,Chatom Union Elementary - Stanislaus,806,41.529998779296875
73726,Merced River Union Elementary - Merced,227,11.600000381469727
72462,Hueneme Elementary - Ventura,8416,391.4200134277344
62737,Cuddeback Union Elementary - Humboldt,149,8.5
62703,Blue Lake Union Elementary - Humboldt,220,13.390000343322754
68205,Lemon Grove Elementary - San Diego,4612,232.97000122070312
64063,Upper Lake Union Elementary - Lake,590,34.33000183105469
62984,Peninsula Union Elementary - Humboldt,133,7.550000190734863
72512,Ocean View Elementary - Ventura,2440,121.23999786376953
71647,Reeds Creek Elementary - Tehama,133,6
67280,Arcohe Union Elementary - Sacramento,519,26
68627,New Jerusalem Elementary - San Joaquin,222,11.65999984741211
70243,Dunsmuir Elementary - Siskiyou,285,18.719999313354492
71282,Stanislaus Union Elementary - Stanislaus,3129,147.97999572753906
62240,Kingsburg Joint Union Elementary - Fresno,2019,102.77999877929688
66456,Buena Park Elementary - Orange,5620,267
66746,Westminster Elementary - Orange,9775,484.5
63933,Island Union Elementary - Kings,246,11.5
72231,Tulare City Elementary - Tulare,7210,360.3500061035156
68023,Chula Vista Elementary - San Diego,21338,1051.5799560546875
69880,Black Butte Union Elementary - Shasta,477,27
65763,McSwain Union Elementary - Merced,727,39.900001525878906
71381,Franklin Elementary - Sutter,374,18.450000762939453
68098,Escondido Union Elementary - San Diego,18255,903.760009765625
64485,East Whittier City Elementary - Los Angeles,8787,410.9100036621094
73544,Rio Bravo-Greeley Union Elementary - Kern,797,38
71407,Marcum-Illinois Union Elementary - Sutter,140,7
68437,Vallecitos Elementary - San Diego,235,13.699999809265137
67918,Victor Elementary - San Bernardino,8294,371.1000061035156
66696,Savanna Elementary - Orange,2409,108.66000366210938
71001,West Side Union Elementary - Sonoma,150,8.25
69971,Enterprise Elementary - Shasta,3981,210
71621,Red Bluff Union Elementary - Tehama,2326,117.80000305175781
72363,Jamestown Elementary - Tuolumne,501,30.5
70482,Weed Union Elementary - Siskiyou,470,28.270000457763672
63032,South Bay Union Elementary - Humboldt,575,35.099998474121094
61655,Brentwood Union Elementary - Contra Costa,3519,175.3000030517578
72405,Summerville Elementary - Tuolumne,474,26.34000015258789
66860,Ophir Elementary - Placer,223,11.5
70821,Montgomery Elementary - Sonoma,92,5.599999904632568
70912,Santa Rosa Elementary - Sonoma,4971,297.1400146484375
71266,Salida Union Elementary - Stanislaus,2617,107.19499969482422
70128,Shasta Union Elementary - Shasta,242,13.25
62802,Fortuna Union Elementary - Humboldt,780,41.150001525878906
72090,Rockford  Elementary - Tulare,324,15.399999618530273
62638,Plaza Elementary - Glenn,140,6.75
70813,Monte Rio Union Elementary - Sonoma,181,10
64105,Janesville Union Elementary - Lassen,516,26
63172,Magnolia Union Elementary - Imperial,108,5
64188,Shaffer Union Elementary - Lassen,419,18.670000076293945
66506,Fullerton Elementary - Orange,12567,546.04998779296875
70649,Cinnabar Elementary - Sonoma,287,16.170000076293945
69278,Santa Barbara Elementary - Santa Barbara,6201,339.1000061035156
63016,Rohnerville Elementary - Humboldt,577,29.950000762939453
71431,Pleasant Grove Joint Union Elementary - Sutter,170,7.5
73700,Mountain Union Elementary - Shasta,164,8.5
63784,South Fork Union Elementary - Kern,382,22
68155,Jamul-Dulzura Union Elementary - San Diego,1221,61.599998474121094
69765,Live Oak Elementary - Santa Cruz,2214,108.3499984741211
67116,Menifee Union Elementary - Riverside,4523,215
63552,Lakeside Union Elementary - Kern,793,39.79999923706055
69724,Whisman Elementary - Santa Clara,1678,88.2699966430664
63180,McCabe Union Elementary - Imperial,536,22.5
68551,Lammersville Elementary - San Joaquin,307,15.850000381469727
71563,Lassen View Union Elementary - Tehama,347,17.5
62927,Loleta Union Elementary - Humboldt,168,11.010000228881836
70045,Junction Elementary - Shasta,532,31
64931,Rosemead Elementary - Los Angeles,3272,150
66332,Grass Valley Elementary - Nevada,2045,107.20999908447266
71829,Buena Vista Elementary - Tulare,156,6.050000190734863
63545,Kernville Union Elementary - Kern,1129,61.9900016784668
67348,Galt Joint Union Elementary - Sacramento,3669,201.97000122070312
67553,Southside Elementary - San Benito,157,9.25
68189,Lakeside Union Elementary - San Diego,4928,229.1999969482422
71423,Nuestro Elementary - Sutter,103,5
61994,Alvina Elementary - Fresno,175,10.300000190734863
61762,Oakley Union Elementary - Contra Costa,4153,199.86000061035156
70268,Etna Union Elementary - Siskiyou,280,18.049999237060547
68544,Jefferson Elementary - San Joaquin,865,43.5
69377,Berryessa Union Elementary - Santa Clara,8735,408.20001220703125
63958,Kit Carson Union Elementary - Kings,412,20.100000381469727
71290,Sylvan Union Elementary - Stanislaus,6373,329.1199951171875
68635,Oak View Union Elementary - San Joaquin,332,18.799999237060547
66787,Auburn Union Elementary - Placer,2903,138.1199951171875
67504,North County Joint Union Elementary - San Benito,565,29.649999618530273
61945,Pioneer Union Elementary - El Dorado,586,26
67645,Central Elementary - San Bernardino,5068,240.10000610351562
70094,Pacheco Union Elementary - Shasta,859,42.84000015258789
66316,Chicago Park Elementary - Nevada,145,10.210000038146973
68874,Brisbane Elementary - San Mateo,649,35.125
63883,Central Union Elementary - Kings,1789,96
70011,Happy Valley Union Elementary - Shasta,775,37
61572,Mark Twain Union Elementary - Calaveras,777,36.849998474121094
65458,San Rafael City Elementary - Marin,3518,188.1999969482422
67991,Cajon Valley Union Elementary - San Diego,19294,924.57000732421875
69393,Campbell Union Elementary - Santa Clara,7661,386.4200134277344
71365,Browns Elementary - Sutter,158,8
66324,Clear Creek Elementary - Nevada,117,6
63057,Trinidad Union Elementary - Humboldt,160,8.699999809265137
70722,Guerneville Elementary - Sonoma,511,27.200000762939453
69013,San Bruno Park Elementary - San Mateo,2770,140.11000061035156
71472,Antelope Elementary - Tehama,551,28.5
66472,Centralia Elementary - Orange,5205,242.5
67702,Etiwanda Elementary - San Bernardino,6437,278.8399963378906
65169,Wiseburn Elementary - Los Angeles,1712,81.279998779296875
63024,Scotia Union Elementary - Humboldt,370,19.799999237060547
67785,Mountain View Elementary - San Bernardino,3182,153.1999969482422
68791,Pleasant Valley Joint Union Elementary - San Luis Obispo,139,7.199999809265137
69625,Oak Grove Elementary - Santa Clara,11855,588.84002685546875
61960,Pollock Pines Elementary - El Dorado,1068,51.66999816894531
64345,Castaic Union Elementary - Los Angeles,2295,103
63255,Bishop Union Elementary - Inyo,1510,73.30000305175781
69138,Buellton Union Elementary - Santa Barbara,579,27.799999237060547
75135,Chawanakee Jt. Elementary - Madera,1012,52.63999938964844
70508,Yreka Union Elementary - Siskiyou,1212,68.6500015258789
70599,Alexander Valley Union Elementary - Sonoma,119,7
66415,Twin Ridges Elementary - Nevada,590,35.76250076293945
72173,Sundale Union Elementary - Tulare,546,27.600000381469727
72207,Three Rivers Union Elementary - Tulare,248,11.119999885559082
72348,Columbia Union Elementary - Tuolumne,461,26
65102,Westside Union Elementary - Los Angeles,6312,308.67999267578125
65649,Ballico-Cressey Elementary - Merced,285,13.989999771118164
68973,Millbrae Elementary - San Mateo,2325,115.30000305175781
69435,Evergreen Elementary - Santa Clara,11885,549.84002685546875
70730,Harmony Union Elementary - Sonoma,564,27.43000030517578
63362,Panama Buena Vista Union Elementary - Kern,12380,620.3800048828125
68932,Laguna Salada Union Elementary - San Mateo,3772,178.05999755859375
72371,Sonora Elementary - Tuolumne,895,47.58000183105469
66910,Roseville City Elementary - Placer,5714,277.6700134277344
71084,Gratton Elementary - Stanislaus,105,5.730000019073486
64196,Susanville Elementary - Lassen,1449,76.98999786376953
69872,Bella Vista Elementary - Shasta,510,24.5
71852,Columbine Elementary - Tulare,160,8
64626,Hughes-Elizabeth Lakes Union Elementary - Los Angeles,433,22
69591,Mountain View Elementary - Santa Clara,3186,164.30999755859375
65045,Sulphur Springs Union Elementary - Los Angeles,5010,239.39999389648438
70680,Forestville Union Elementary - Sonoma,717,35.95000076293945
63750,Rosedale Union Elementary - Kern,3548,170.64999389648438
69948,Columbia Elementary - Shasta,868,45.20000076293945
66795,Colfax Elementary - Placer,507,26.649999618530273
70425,Mt. Shasta Union Elementary - Siskiyou,822,46.650001525878906
70870,Piner-Olivet Union Elementary - Sonoma,1792,88.55000305175781
65185,Bass Lake Joint Elementary - Madera,1202,62.29999923706055
62745,Cutten Elementary - Humboldt,515,27.350000381469727
61952,Placerville Union Elementary - El Dorado,1354,66.56999969482422
71035,Wright Elementary - Sonoma,1252,65.11000061035156
71522,Evergreen Union Elementary - Tehama,823,46
70847,Old Adobe Union Elementary - Sonoma,2231,114.30000305175781
71019,Wilmar Union Elementary - Sonoma,271,14.199999809265137
66761,Ackerman Elementary - Placer,309,15.5
69815,Santa Cruz City Elementary - Santa Cruz,3005,159.22000122070312
62679,Arcata Elementary - Humboldt,966,47.959999084472656
67595,Alta Loma Elementary - San Bernardino,7710,327.29998779296875
66837,Foresthill Union Elementary - Placer,762,35.5
61929,Mother Lode Union Elementary - El Dorado,1708,89
66613,Ocean View Elementary - Orange,9850,489.29998779296875
62596,Lake Elementary - Glenn,129,5
69039,San Mateo-Foster City Elementary - San Mateo,10619,565.510009765625
69195,Goleta Union Elementary - Santa Barbara,4521,236.5800018310547
67736,Helendale Elementary - San Bernardino,580,29.440000534057617
70854,Petaluma City Elementary - Sonoma,2569,138
69690,Sunnyvale Elementary - Santa Clara,6022,286.79998779296875
69179,College Elementary - Santa Barbara,670,33.5
68197,La Mesa-Spring Valley - San Diego,14708,700.94000244140625
66530,Huntington Beach City Elementary - Orange,6601,305
69336,Solvang Elementary - Santa Barbara,675,33.70000076293945
69849,Soquel Elementary - Santa Cruz,2458,124.06999969482422
62554,Capay Joint Union Elementary - Glenn,144,8
70714,Gravenstein Union Elementary - Sonoma,573,29.600000381469727
66381,Pleasant Valley Elementary - Nevada,721,35.72999954223633
63990,Pioneer Union Elementary - Kings,992,46.970001220703125
68361,Santee Elementary - San Diego,8432,360.5
64113,Johnstonville Elementary - Lassen,244,11
72553,Pleasant Valley Elementary - Ventura,7116,356.82000732421875
72355,Curtis Creek Elementary - Tuolumne,830,46.65999984741211
70300,Fort Jones Union Elementary - Siskiyou,160,10.880000114440918
70805,Mark West Union Elementary - Sonoma,1588,83.4000015258789
67967,Alpine Union Elementary - San Diego,2272,108.75
70938,Sebastopol Union Elementary - Sonoma,1425,71.83000183105469
62828,Freshwater Elementary - Humboldt,245,12.550000190734863
63693,Norris Elementary - Kern,1349,65.2125015258789
72132,Springville Union Elementary - Tulare,400,22
69575,Moreland Elementary - Santa Clara,4632,245.17999267578125
63610,Maple Elementary - Kern,224,9
63941,Kings River-Hardwick Union Elementary - Kings,576,31
68163,Julian Union Elementary - San Diego,451,25
68007,Cardiff Elementary - San Diego,900,50.75
72108,Saucelito Elementary - Tulare,118,5.5
67975,Bonsall Union Elementary - San Diego,1457,73.12999725341797
66480,Cypress Elementary - Orange,4734,232.75
64766,Lowell Joint Elementary - Los Angeles,3303,146.5
64832,Newhall Elementary - Los Angeles,6055,286.9200134277344
65359,Lagunitas Elementary - Marin,424,23.299999237060547
69385,Cambrian Elementary - Santa Clara,2801,139.3000030517578
71654,Richfield Elementary - Tehama,187,9.760000228881836
62794,Fieldbrook Elementary - Humboldt,129,6.599999904632568
68049,Dehesa Elementary - San Diego,188,9
69955,Cottonwood Union Elementary - Shasta,1212,65.9000015258789
63479,Fruitvale Elementary - Kern,2596,135.35000610351562
69708,Union Elementary - Santa Clara,4925,253.89599609375
66498,Fountain Valley Elementary - Orange,6257,288.6300048828125
61879,Gold Oak Union Elementary - El Dorado,868,45
61838,Buckeye Union Elementary - El Dorado,3787,186.10000610351562
75085,Rocklin Unified - Placer,6423,306.3800048828125
61887,Gold Trail Union Elementary - El Dorado,678,34.84000015258789
62885,Hydesville Elementary - Humboldt,162,8.399999618530273
64998,Saugus Union Elementary - Los Angeles,8529,407.70001220703125
66845,Loomis Union Elementary - Placer,1862,89.089996337890625
66886,Placer Hills Union Elementary - Placer,1452,70.5
70672,Dunham Elementary - Sonoma,155,8
69021,San Carlos Elementary - San Mateo,2536,127.11000061035156
66399,Ready Springs Union Elementary - Nevada,567,30.079999923706055
65219,Coarsegold Union Elementary - Madera,953,52.599998474121094
68726,Cayucos Elementary - San Luis Obispo,296,15.430000305175781
64170,Richmond Elementary - Lassen,198,9
62109,Clay Joint Elementary - Fresno,218,10.100000381469727
70995,Waugh Elementary - Sonoma,734,36
70979,Two Rock Union Elementary - Sonoma,189,11.600000381469727
68866,Belmont-Redwood Shores Elementary - San Mateo,2528,138.30999755859375
61978,Rescue Union Elementary - El Dorado,2987,154.1699981689453
66779,Alta-Dutch Flat Union Elementary - Placer,208,11
68353,San Pasqual Union Elementary - San Diego,379,23.100000381469727
61911,Latrobe Elementary - El Dorado,145,9.300000190734863
66407,Union Hill Elementary - Nevada,706,37.7400016784668
70961,Twin Hills Union Elementary - Sonoma,878,47.900001525878906
62976,Pacific Union Elementary - Humboldt,594,33.18000030517578
71696,Douglas City Elementary - Trinity,139,7.349999904632568
66373,Pleasant Ridge Union Elementary - Nevada,2089,102.77999877929688
66852,Newcastle Elementary - Placer,326,16.280000686645508
72470,Mesa Union Elementary - Ventura,516,21.5
71787,Weaverville Elementary - Trinity,449,25.5
70078,North Cow Creek Elementary - Shasta,297,15.350000381469727
66340,Nevada City Elementary - Nevada,1579,80.23999786376953
62893,Jacoby Creek Elementary - Humboldt,383,20.450000762939453
70698,Fort Ross Elementary - Sonoma,81,5.099999904632568
68080,Encinitas Union Elementary - San Diego,5259,262.2300109863281
65318,Dixie Elementary - Marin,1960,108.95999908447266
69492,Lakeside Joint Elementary - Santa Clara,151,8.899999618530273
64600,Hermosa Beach City Elementary - Los Angeles,946,49.16999816894531
70896,Rincon Valley Union Elementary - Sonoma,2707,141.02000427246094
66233,Washington Union Elementary - Monterey,919,46.88999938964844
70623,Bennett Valley Union Elementary - Sonoma,945,46
69500,Loma Prieta Joint Union Elemen - Santa Clara,738,39.70199966430664
70789,Kenwood Elementary - Sonoma,164,10.510000228881836
70797,Liberty Elementary - Sonoma,167,10.920000076293945
71142,Knights Ferry Elementary - Stanislaus,125,7.079999923706055
65334,Kentfield Elementary - Marin,1091,62.060001373291016
69104,Ballard Elementary - Santa Barbara,134,6
70839,Oak Grove Union Elementary - Sonoma,600,32
75002,Ross Valley Elementary - Marin,1803,99.5999984741211
69773,Mountain Elementary - Santa Cruz,158,7.800000190734863
68882,Burlingame Elementary - San Mateo,2392,127.22000122070312
70003,Grant Elementary - Shasta,526,28.020000457763672
69757,Happy Valley Elementary - Santa Cruz,141,6.909999847412109
69732,Bonny Doon Union Elementary - Santa Cruz,235,12.600000381469727
61812,Walnut Creek Elementary - Contra Costa,3280,158.39999389648438
69211,Hope Elementary - Santa Barbara,1254,57
65367,Larkspur Elementary - Marin,948,53.560001373291016
69419,Cupertino Union Elementary - Santa Clara,15228,708.83001708984375
69781,Pacific Elementary - Santa Cruz,81,4.849999904632568
69526,Los Gatos Union Elementary - Santa Clara,2768,141.39999389648438
69252,Montecito Union Elementary - Santa Barbara,535,31
68387,Solana Beach Elementary - San Diego,2542,146.3000030517578
68965,Menlo Park City Elementary - San Mateo,1940,111.81999969482422
65425,Reed Union Elementary - Marin,1059,65.12000274658203
65391,Mill Valley Elementary - Marin,2340,132.1999969482422
61713,Lafayette Elementary - Contra Costa,3469,172.33999633789062
68056,Del Mar Union Elementary - San Diego,2106,115.30000305175781
69088,Woodside Elementary - San Mateo,478,32.869998931884766
61747,Moraga Elementary - Contra Costa,1885,98.41999816894531
61770,Orinda Union Elementary - Contra Costa,2422,139.47000122070312
68908,Hillsborough City Elementary - San Mateo,1318,87.05999755859375
69161,Cold Spring Elementary - Santa Barbara,220,12.329999923706055
68981,Portola Valley Elementary - San Mateo,687,44.59000015258789
69682,Saratoga Union Elementary - Santa Clara,2341,124.08999633789062
68957,Las Lomitas Elementary - San Mateo,984,59.72999954223633
69518,Los Altos Elementary - Santa Clara,3724,208.47999572753906
72611,Somis Union Elementary - Ventura,441,20.149999618530273
72744,Plumas Elementary - Yuba,101,5
72751,Wheatland Elementary - Yuba,1778,93.4000015258789
